**ACTUATORS**
Actuator,Material,Surface Property Solar Absorptance,MAT-CC05 4 HW CONCRETE,[ ]
Actuator,Material,Surface Property Thermal Absorptance,MAT-CC05 4 HW CONCRETE,[ ]
Actuator,Material,Surface Property Visible Absorptance,MAT-CC05 4 HW CONCRETE,[ ]
Actuator,Material,Surface Property Solar Absorptance,Std AC02,[ ]
Actuator,Material,Surface Property Thermal Absorptance,Std AC02,[ ]
Actuator,Material,Surface Property Visible Absorptance,Std AC02,[ ]
Actuator,Material,Surface Property Solar Absorptance,MAT-AIR-WALL,[ ]
Actuator,Material,Surface Property Thermal Absorptance,MAT-AIR-WALL,[ ]
Actuator,Material,Surface Property Visible Absorptance,MAT-AIR-WALL,[ ]
Actuator,People,Number of People,CORE_BOTTOM PEOPLE,[each]
Actuator,People,Number of People,CORE_MID PEOPLE,[each]
Actuator,People,Number of People,CORE_TOP PEOPLE,[each]
Actuator,People,Number of People,PERIMETER_BOT_ZN_1 PEOPLE,[each]
Actuator,People,Number of People,PERIMETER_BOT_ZN_2 PEOPLE,[each]
Actuator,People,Number of People,PERIMETER_BOT_ZN_3 PEOPLE,[each]
Actuator,People,Number of People,PERIMETER_BOT_ZN_4 PEOPLE,[each]
Actuator,People,Number of People,PERIMETER_MID_ZN_1 PEOPLE,[each]
Actuator,People,Number of People,PERIMETER_MID_ZN_2 PEOPLE,[each]
Actuator,People,Number of People,PERIMETER_MID_ZN_3 PEOPLE,[each]
Actuator,People,Number of People,PERIMETER_MID_ZN_4 PEOPLE,[each]
Actuator,People,Number of People,PERIMETER_TOP_ZN_1 PEOPLE,[each]
Actuator,People,Number of People,PERIMETER_TOP_ZN_2 PEOPLE,[each]
Actuator,People,Number of People,PERIMETER_TOP_ZN_3 PEOPLE,[each]
Actuator,People,Number of People,PERIMETER_TOP_ZN_4 PEOPLE,[each]
Actuator,Lights,Electricity Rate,CORE_BOTTOM_LIGHTS,[W]
Actuator,Lights,Electricity Rate,CORE_MID_LIGHTS,[W]
Actuator,Lights,Electricity Rate,CORE_TOP_LIGHTS,[W]
Actuator,Lights,Electricity Rate,PERIMETER_BOT_ZN_1_LIGHTS,[W]
Actuator,Lights,Electricity Rate,PERIMETER_BOT_ZN_2_LIGHTS,[W]
Actuator,Lights,Electricity Rate,PERIMETER_BOT_ZN_3_LIGHTS,[W]
Actuator,Lights,Electricity Rate,PERIMETER_BOT_ZN_4_LIGHTS,[W]
Actuator,Lights,Electricity Rate,PERIMETER_MID_ZN_1_LIGHTS,[W]
Actuator,Lights,Electricity Rate,PERIMETER_MID_ZN_2_LIGHTS,[W]
Actuator,Lights,Electricity Rate,PERIMETER_MID_ZN_3_LIGHTS,[W]
Actuator,Lights,Electricity Rate,PERIMETER_MID_ZN_4_LIGHTS,[W]
Actuator,Lights,Electricity Rate,PERIMETER_TOP_ZN_1_LIGHTS,[W]
Actuator,Lights,Electricity Rate,PERIMETER_TOP_ZN_2_LIGHTS,[W]
